Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi;Ascomycota;Lecanoromycetes,3,5252,1866,1865,"['species (1865)', 'none (3386)', 'family (1)']"
Fungi;Ascomycota;Lecanoromycetes;Acarosporales,4,243,124,124,"['species (124)', 'none (119)']"
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae,5,227,123,123,"['species (123)', 'none (104)']"
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Glypholecia,6,2,2,2,['species (2)']
Fungi;Ascomycota;Lecanoromycetes;Acarosporales;Acarosporaceae;Glypholecia;Glypholecia qinghaiensis,7,1,1,1,['species (1)']
Fungi;Ascomycota;Eurotiomycetes;Eurotiales,4,1586,315,315,"['none (1271)', 'species (315)']"
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae,5,274,66,66,"['none (208)', 'species (66)']"
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces,6,178,44,44,"['none (134)', 'species (44)']"
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces ucrainicus,7,1,0,0,['none (1)']
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces rubicundus,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota,2,39409,9781,9771,"['none (29628)', 'species (9771)', 'family (7)', 'order (1)', 'class (1)', 'domain (1)']"
Fungi;Basidiomycota;Agaricomycetes,3,35929,8800,8791,"['none (27129)', 'species (8791)', 'family (7)', 'order (1)', 'class (1)']"
Fungi;Basidiomycota;Agaricomycetes;Gomphales,4,443,147,147,"['none (296)', 'species (147)']"
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Lentariaceae,5,35,7,7,"['none (28)', 'species (7)']"
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Lentariaceae;Lentaria,6,11,4,4,"['none (7)', 'species (4)']"
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Lentariaceae;Lentaria;Lentaria sp,7,3,0,0,['none (3)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales,4,3383,92,92,"['none (3291)', 'species (92)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales fam Incertae sedis,5,576,5,5,"['none (571)', 'species (5)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales fam Incertae sedis;Sesquicillium,6,9,0,0,['none (9)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales fam Incertae sedis;Sesquicillium;Sesquicillium phyllophilum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae,5,541,15,15,"['none (526)', 'species (15)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces,6,80,2,2,"['none (78)', 'species (2)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Hypomyces;Hypomyces viridigriseus,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales,4,452,15,15,"['none (437)', 'species (15)']"
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae,5,167,4,4,"['none (163)', 'species (4)']"
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Heterotruncatella,6,6,0,0,['none (6)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Heterotruncatella;Heterotruncatella aspera,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Synnemapestaloides,6,4,0,0,['none (4)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Sporocadaceae;Synnemapestaloides;Synnemapestaloides juniperi,7,1,0,0,['none (1)']
Fungi;Ascomycota;Leotiomycetes,3,5779,1422,1418,"['none (4357)', 'species (1418)', 'order (1)', 'domain (1)', 'family (1)', 'phylum (1)']"
