Taxonomy,Level,Entries,Amplifies,Differentiable,Rank Summary
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius holojanthinus,7,1,0,0,['none (1)']
Fungi;Ascomycota;Pezizomycotina cls Incertae sedis;Pezizomycotina ord Incertae sedis;Pezizomycotina fam Incertae sedis;Lylea,6,1,0,0,['none (1)']
Fungi;Ascomycota;Pezizomycotina cls Incertae sedis;Pezizomycotina ord Incertae sedis;Pezizomycotina fam Incertae sedis;Lylea;Lylea dalbergiae,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Strophariaceae;Pholiota;Pholiota sp,7,11,6,6,"['species (6)', 'none (5)']"
Fungi;Ascomycota;Sordariomycetes;Sporidesmiales,4,10,0,0,['none (10)']
Fungi;Ascomycota;Sordariomycetes;Sporidesmiales;Sporidesmiaceae,5,10,0,0,['none (10)']
Fungi;Ascomycota;Sordariomycetes;Sporidesmiales;Sporidesmiaceae;Sporidesmium,6,8,0,0,['none (8)']
Fungi;Ascomycota;Sordariomycetes;Sporidesmiales;Sporidesmiaceae;Sporidesmium;Sporidesmium lignicola,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Sarocladiaceae;Sarocladium,6,30,2,2,"['none (28)', 'species (2)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Sarocladiaceae;Sarocladium;Sarocladium theobromae,7,1,0,0,['none (1)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces,6,11,0,0,['none (11)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces bayanus,7,2,0,0,['none (2)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius subcroceofolius,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Russulales;Peniophoraceae;Vararia,6,67,36,36,"['none (31)', 'species (36)']"
Fungi;Basidiomycota;Agaricomycetes;Russulales;Peniophoraceae;Vararia;Vararia fissurata,7,2,0,0,['none (2)']
Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiales;Cystobasidiaceae;Cystobasidium;Cystobasidium oligophagum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Lipomycetaceae gen Incertae sedis,6,4,0,0,['none (4)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Lipomycetaceae;Lipomycetaceae gen Incertae sedis;Lipomycetaceae sp,7,4,0,0,['none (4)']
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis,6,3,1,1,"['species (1)', 'none (2)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Botrytis;Botrytis cinerea,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Hymenogastraceae;Phaeocollybia;Phaeocollybia attenuata,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Elliottinia,6,1,1,1,['species (1)']
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Elliottinia;Elliottinia kerneri,7,1,1,1,['species (1)']
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Eucalyptostroma;Eucalyptostroma eucalyptorum,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Tetrapyrgos,6,19,3,3,"['none (16)', 'species (3)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Marasmiaceae;Tetrapyrgos;Tetrapyrgos sp,7,5,0,0,['none (5)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae,7,7,0,0,['none (7)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena clavularis,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena bulbosa,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Conioscyphales;Conioscyphaceae;Conioscypha,6,12,0,0,['none (12)']
Fungi;Ascomycota;Sordariomycetes;Conioscyphales;Conioscyphaceae;Conioscypha;Conioscypha sp,7,6,0,0,['none (6)']
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Parmeliaceae;Bulbothrix;Bulbothrix subscortea,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena kentingensis,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Cortinariaceae;Cortinarius;Cortinarius pacificus,7,1,0,0,['none (1)']
Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium dodgei,7,3,3,3,['species (3)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Periconiaceae;Periconia;Periconia neominutissima,7,2,0,0,['none (2)']
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Caloplaca;Caloplaca haematites,7,3,3,3,['species (3)']
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Caloplaca;Caloplaca cerina,7,16,13,13,"['species (13)', 'none (3)']"
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Pyrenodesmia,6,18,2,2,"['species (2)', 'none (16)']"
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Pyrenodesmia;Pyrenodesmia sp,7,3,1,1,"['species (1)', 'none (2)']"
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Caloplaca;Caloplaca australis,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma virens,7,5,0,0,['none (5)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma chlorosporum,7,2,0,0,['none (2)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Neostagonospora,6,5,3,3,"['none (2)', 'species (3)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Neostagonospora;Neostagonospora arrhenatheri,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Inocybaceae;Inocybe;Inocybe ventricosa,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Leucoagaricus;Leucoagaricus rubroconfusus,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Ascomycota;Sordariomycetes;Savoryellales;Savoryellaceae;Neoascotaiwania,6,4,0,0,['none (4)']
Fungi;Ascomycota;Sordariomycetes;Savoryellales;Savoryellaceae;Neoascotaiwania;Neoascotaiwania limnetica,7,2,0,0,['none (2)']
Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Verrucaria;Verrucaria tectorum,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Hydropus,6,31,3,3,"['none (28)', 'species (3)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Hydropus;Hydropus sp,7,27,1,1,"['none (26)', 'species (1)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanorales fam Incertae sedis,5,19,5,5,"['none (14)', 'species (5)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanorales fam Incertae sedis;Lecanorales gen Incertae sedis,6,15,4,4,"['none (11)', 'species (4)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Lecanorales fam Incertae sedis;Lecanorales gen Incertae sedis;Lecanorales sp,7,15,4,4,"['none (11)', 'species (4)']"
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Rattania,6,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Chaetosphaeriales;Chaetosphaeriaceae;Rattania;Rattania aquatica,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes ord Incertae sedis;Sordariomycetes fam Incertae sedis;Ellisembia,6,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes ord Incertae sedis;Sordariomycetes fam Incertae sedis;Ellisembia;Ellisembia aurea,7,1,0,0,['none (1)']
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Thalloidima;Thalloidima sedifolium,7,2,0,0,['none (2)']
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria;Ramaria barenthalensis,7,1,1,1,['species (1)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Suhomyces,6,25,20,20,"['none (5)', 'species (20)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Suhomyces;Suhomyces tanzawaensis,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Ascomycota;Lichinomycetes;Lichinales;Lichinaceae;Phylliscum,6,4,0,0,['none (4)']
Fungi;Ascomycota;Lichinomycetes;Lichinales;Lichinaceae;Phylliscum;Phylliscum sp,7,3,0,0,['none (3)']
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Phaeoclavulina;Phaeoclavulina subdecurrens,7,1,1,1,['species (1)']
Fungi;Chytridiomycota;Synchytriomycetes,3,25,0,0,['none (25)']
Fungi;Chytridiomycota;Synchytriomycetes;Synchytriales,4,25,0,0,['none (25)']
Fungi;Chytridiomycota;Synchytriomycetes;Synchytriales;Synchytriaceae,5,21,0,0,['none (21)']
Fungi;Chytridiomycota;Synchytriomycetes;Synchytriales;Synchytriaceae;Synchytrium,6,5,0,0,['none (5)']
Fungi;Chytridiomycota;Synchytriomycetes;Synchytriales;Synchytriaceae;Synchytrium;Synchytrium endobioticum,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria;Ramaria longispora,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Phaeosphaeria;Phaeosphaeria phoenicicola,7,2,2,2,['species (2)']
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Alatosessilispora,6,2,0,0,['none (2)']
Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Trichomeriaceae;Alatosessilispora;Alatosessilispora bibrachiata,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Ganodermataceae;Ganoderma;Ganoderma tsunodae,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Perenniporiopsis,6,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Perenniporiopsis;Perenniporiopsis sp,7,1,1,1,['species (1)']
Fungi;Ascomycota;Lecanoromycetes;Pertusariales;Megasporaceae;Aspicilia;Aspicilia goettweigensis,7,1,1,1,['species (1)']
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae;Xylaria;Xylaria moelleroclavus,7,2,0,0,['none (2)']
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Yunnanomyces,6,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Yunnanomyces;Yunnanomyces sp,7,1,0,0,['none (1)']
Fungi;Mucoromycota;Mucoromycetes;Mucorales;Mucoraceae;Mucor;Mucor microsporus,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;Trichoderma tawa,7,1,0,0,['none (1)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae,5,20,4,4,"['none (16)', 'species (4)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora,6,17,3,3,"['none (14)', 'species (3)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycodaceae;Hanseniaspora;Hanseniaspora uvarum,7,5,0,0,['none (5)']
Fungi;Ascomycota;Lecanoromycetes;Lecideales;Lecideaceae;Lecidea;Lecidea syncarpa,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales,4,35,0,0,['none (35)']
Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae,5,35,0,0,['none (35)']
Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia,6,33,0,0,['none (33)']
Fungi;Basidiomycota;Exobasidiomycetes;Tilletiales;Tilletiaceae;Tilletia;Tilletia chionachnes,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps buquetii,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Coronophorales;Ceratostomataceae,5,9,0,0,['none (9)']
Fungi;Ascomycota;Sordariomycetes;Coronophorales;Ceratostomataceae;Harzia,6,7,0,0,['none (7)']
Fungi;Ascomycota;Sordariomycetes;Coronophorales;Ceratostomataceae;Harzia;Harzia sp,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Clavaria;Clavaria fragilis,7,5,3,3,"['species (3)', 'none (2)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Atheniella;Atheniella adonis,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena flavoalba,7,2,0,0,['none (2)']
Fungi;Basidiomycota;Agaricomycetes;Phallales;Phallaceae;Clathrus;Clathrus sp,7,4,0,0,['none (4)']
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Cladoniaceae;Cladia,6,22,2,2,"['species (2)', 'none (20)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Cladoniaceae;Cladia;Cladia terebrata,7,8,2,2,"['species (2)', 'none (6)']"
Fungi;Ascomycota;Pezizomycotina cls Incertae sedis;Pezizomycotina ord Incertae sedis;Pezizomycotina fam Incertae sedis;Leucopenicillifer,6,5,0,0,['none (5)']
Fungi;Ascomycota;Pezizomycotina cls Incertae sedis;Pezizomycotina ord Incertae sedis;Pezizomycotina fam Incertae sedis;Leucopenicillifer;Leucopenicillifer sp,7,5,0,0,['none (5)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena pseudotenax,7,2,0,0,['none (2)']
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Teratosphaeriaceae;Acidiella;Acidiella americana,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Sporormiaceae;Sporormiella;Sporormiella sp,7,12,0,0,['none (12)']
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Grifolaceae;Grifola;Grifola sordulenta,7,3,2,2,"['species (2)', 'none (1)']"
Fungi;Basidiomycota;Agaricomycetes;Gomphales;Gomphaceae;Ramaria;Ramaria conjunctipes,7,4,3,3,"['none (1)', 'species (3)']"
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes ord Incertae sedis;Pleurotremataceae,5,4,2,2,"['species (2)', 'none (2)']"
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes ord Incertae sedis;Pleurotremataceae;Melomastia,6,4,2,2,"['species (2)', 'none (2)']"
Fungi;Ascomycota;Dothideomycetes;Dothideomycetes ord Incertae sedis;Pleurotremataceae;Melomastia;Melomastia sp,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Fibulomyces,6,2,0,0,['none (2)']
Fungi;Basidiomycota;Agaricomycetes;Atheliales;Atheliaceae;Fibulomyces;Fibulomyces mutabilis,7,1,0,0,['none (1)']
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Clathrosphaerina,6,14,2,2,"['none (12)', 'species (2)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Clathrosphaerina;Clathrosphaerina sp,7,12,1,1,"['none (11)', 'species (1)']"
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Neodevriesiaceae,5,34,14,14,"['none (20)', 'species (14)']"
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Neodevriesiaceae;Neodevriesia,6,27,13,13,"['none (14)', 'species (13)']"
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Neodevriesiaceae;Neodevriesia;Neodevriesia sardiniae,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Basidiomycota;Agaricomycetes;Hysterangiales;Hysterangiaceae;Aroramyces,6,4,1,1,"['species (1)', 'none (3)']"
Fungi;Basidiomycota;Agaricomycetes;Hysterangiales;Hysterangiaceae;Aroramyces;Aroramyces herrerae,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Grammothele,6,6,1,1,"['none (5)', 'species (1)']"
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Polyporaceae;Grammothele;Grammothele quercina,7,1,0,0,['none (1)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Metschnikowia;Metschnikowia pulcherrima,7,4,1,1,"['none (3)', 'species (1)']"
Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Russula;Russula poichilochroa,7,1,1,1,['species (1)']
Fungi;Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Hyperphyscia,6,5,2,2,"['none (3)', 'species (2)']"
Fungi;Ascomycota;Lecanoromycetes;Caliciales;Physciaceae;Hyperphyscia;Hyperphyscia adglutinata,7,3,1,1,"['none (2)', 'species (1)']"
Fungi;Basidiomycota;Agaricomycetes;Thelephorales;Thelephoraceae;Thelephora;Thelephora palmata,7,5,0,0,['none (5)']
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Metschnikowiaceae;Kodamaea;Kodamaea samutsakhonensis,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Tricholoma;Tricholoma subaureum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Melogrammataceae,5,2,0,0,['none (2)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Melogrammataceae;Melogramma,6,2,0,0,['none (2)']
Fungi;Ascomycota;Sordariomycetes;Amphisphaeriales;Melogrammataceae;Melogramma;Melogramma campylosporum,7,2,0,0,['none (2)']
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Opegraphaceae;Hubbsia,6,1,0,0,['none (1)']
Fungi;Ascomycota;Arthoniomycetes;Arthoniales;Opegraphaceae;Hubbsia;Hubbsia californica,7,1,0,0,['none (1)']
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Ruhlandiella,6,49,3,3,"['none (46)', 'species (3)']"
Fungi;Ascomycota;Pezizomycetes;Pezizales;Pezizaceae;Ruhlandiella;Ruhlandiella sp,7,41,1,1,"['none (40)', 'species (1)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Lecania;Lecania prasinoides,7,1,0,0,['none (1)']
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomycetaceae gen Incertae sedis,6,5,1,1,"['species (1)', 'none (4)']"
Fungi;Ascomycota;Archaeorhizomycetes;Archaeorhizomycetales;Archaeorhizomycetaceae;Archaeorhizomycetaceae gen Incertae sedis;Archaeorhizomycetaceae sp,7,5,1,1,"['species (1)', 'none (4)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Scytalidium;Scytalidium lignicola,7,4,2,2,"['none (2)', 'species (2)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Acrocalymmaceae,5,21,8,8,"['none (13)', 'species (8)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Acrocalymmaceae;Acrocalymma,6,21,8,8,"['none (13)', 'species (8)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Acrocalymmaceae;Acrocalymma;Acrocalymma sp,7,11,2,2,"['none (9)', 'species (2)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Termiticola,6,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Termiticola;Termiticola sp,7,1,0,0,['none (1)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Morosphaeriaceae,5,15,5,5,"['none (10)', 'species (5)']"
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Morosphaeriaceae;Rhizopycnis,6,2,0,0,['none (2)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Morosphaeriaceae;Rhizopycnis;Rhizopycnis sp,7,2,0,0,['none (2)']
Fungi;Ascomycota;Pezizomycetes;Pezizales;Discinaceae;Hydnotrya;Hydnotrya laojunshanensis,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Tulostoma;Tulostoma cyclophorum,7,1,1,1,['species (1)']
Fungi;Ascomycota;Sordariomycetes;Xylariales;Hypoxylaceae;Hypoxylon;Hypoxylon lividipigmentum,7,4,0,0,['none (4)']
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Anthracoideaceae,5,21,2,2,"['none (19)', 'species (2)']"
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Anthracoideaceae;Ustanciosporium,6,2,0,0,['none (2)']
Fungi;Basidiomycota;Ustilaginomycetes;Ustilaginales;Anthracoideaceae;Ustanciosporium;Ustanciosporium gigantosporum,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes ord Incertae sedis;Junewangiaceae;Sporidesmiella,6,15,0,0,['none (15)']
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes ord Incertae sedis;Junewangiaceae;Sporidesmiella;Sporidesmiella sp,7,10,0,0,['none (10)']
Fungi;Ascomycota;Dothideomycetes;Pleosporales;Acrocalymmaceae;Acrocalymma;Acrocalymma fici,7,3,1,1,"['none (2)', 'species (1)']"
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Extremaceae;Extremaceae gen Incertae sedis,6,10,0,0,['none (10)']
Fungi;Ascomycota;Dothideomycetes;Mycosphaerellales;Extremaceae;Extremaceae gen Incertae sedis;Extremaceae sp,7,10,0,0,['none (10)']
Fungi;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Corticiaceae gen Incertae sedis,6,37,2,2,"['none (35)', 'species (2)']"
Fungi;Basidiomycota;Agaricomycetes;Corticiales;Corticiaceae;Corticiaceae gen Incertae sedis;Corticiaceae sp,7,37,2,2,"['none (35)', 'species (2)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Rutstroemiaceae;Rutstroemiaceae gen Incertae sedis,6,10,2,2,"['none (8)', 'species (2)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Rutstroemiaceae;Rutstroemiaceae gen Incertae sedis;Rutstroemiaceae sp,7,10,2,2,"['none (8)', 'species (2)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Nakaseomyces;Nakaseomyces bracarensis,7,2,1,1,"['species (1)', 'none (1)']"
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Upretia,6,3,2,2,"['species (2)', 'none (1)']"
Fungi;Ascomycota;Lecanoromycetes;Teloschistales;Teloschistaceae;Upretia;Upretia sp,7,1,1,1,['species (1)']
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Stromatinia,6,6,2,2,"['none (4)', 'species (2)']"
Fungi;Ascomycota;Leotiomycetes;Helotiales;Sclerotiniaceae;Stromatinia;Stromatinia sp,7,5,1,1,"['none (4)', 'species (1)']"
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae,5,42,6,6,"['species (6)', 'none (36)']"
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina,6,41,6,6,"['species (6)', 'none (35)']"
Fungi;Ascomycota;Taphrinomycetes;Taphrinales;Taphrinaceae;Taphrina;Taphrina sp,7,8,3,3,"['species (3)', 'none (5)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria,6,36,5,5,"['none (31)', 'species (5)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Physalacriaceae;Armillaria;Armillaria mellea,7,9,1,1,"['none (8)', 'species (1)']"
Fungi;Ascomycota;Orbiliomycetes;Orbiliales;Orbiliaceae;Orbilia;Orbilia pseudoaristata,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Russulales;Russulaceae;Lactifluus;Lactifluus brunneoviolascens,7,1,1,1,['species (1)']
Fungi;Ascomycota;Eurotiomycetes;Verrucariales;Verrucariaceae;Verrucaria;Verrucaria canella,7,1,1,1,['species (1)']
Fungi;Ascomycota;Lecanoromycetes;Rhizocarpales;Rhizocarpaceae;Rhizocarpon;Rhizocarpon pycnocarpoides,7,1,1,1,['species (1)']
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiales fam Incertae sedis,5,4,0,0,['none (4)']
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiales fam Incertae sedis;Exobasidiales gen Incertae sedis,6,3,0,0,['none (3)']
Fungi;Basidiomycota;Exobasidiomycetes;Exobasidiales;Exobasidiales fam Incertae sedis;Exobasidiales gen Incertae sedis;Exobasidiales sp,7,3,0,0,['none (3)']
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Macrophomina,6,6,1,1,"['none (5)', 'species (1)']"
Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Macrophomina;Macrophomina phaseolina,7,5,1,1,"['none (4)', 'species (1)']"
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena urania,7,1,0,0,['none (1)']
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria,6,13,2,2,"['none (11)', 'species (2)']"
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Neonectria;Neonectria sp,7,8,2,2,"['none (6)', 'species (2)']"
Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;Pichia membranifaciens,7,9,2,2,"['none (7)', 'species (2)']"
Fungi;Basidiomycota;Agaricomycetes;Polyporales;Podoscyphaceae;Podoscypha;Podoscypha venustula,7,1,0,0,['none (1)']
Fungi;Basidiomycota;Agaricomycetes;Agaricales;Mycenaceae;Mycena;Mycena crocata,7,2,1,1,"['none (1)', 'species (1)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Ramalinaceae;Ramalina;Ramalina semicuspidata,7,2,0,0,['none (2)']
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Pilocarpaceae;Micarea;Micarea melanobola,7,1,0,0,['none (1)']
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Cladoniaceae;Lepraria,6,65,31,31,"['species (31)', 'none (34)']"
Fungi;Ascomycota;Lecanoromycetes;Lecanorales;Cladoniaceae;Lepraria;Lepraria elobata,7,5,5,5,['species (5)']
